txnId,timestamp,userName,userVpa,channel,amount,currency,merchantName,merchantVpa,merchantCategory,city,state,latitude,longitude,deviceId,deviceTrust,ipAddress,vpnDetected,botDetected,checkoutDurationSeconds,fraudScore,decisionTier,actionTaken,isFraud,fraudPatternType,fraudPatternDescription
"UPI-IND-2026-00001","2026-09-08T02:02:34.068Z","Aarav Sharma","aarav.sharma49@okhdfcbank","UPI_QR_P2M",3058,"INR","Flipkart Online","flipkart@okaxis","E-Commerce","Kolkata","West Bengal",22.5726,88.3639,"DEV-PHONE-AAR-0","TRUSTED","103.21.0.44",false,false,12,8,"TIER_1_ZERO_FRICTION","Silent Seamless Approval (<15ms)",0,"BENIGN_AUTHENTIC_UPI","Verified NPCI UPI transaction on trusted hardware"
"UPI-IND-2026-00002","2026-09-08T02:03:34.068Z","Priya Patel","priya.patel92@okhdfcbank","UPI_QR_P2M",1838,"INR","Amazon Pay India","amazonpay@apl","E-Commerce","Ahmedabad","Gujarat",23.0225,72.5714,"DEV-PHONE-PRI-1","TRUSTED","103.21.3.44",false,false,13,2,"TIER_1_ZERO_FRICTION","Silent Seamless Approval (<15ms)",0,"BENIGN_AUTHENTIC_UPI","Verified NPCI UPI transaction on trusted hardware"
"UPI-IND-2026-00003","2026-09-08T02:04:34.068Z","Rohan Verma","rohan.verma52@okhdfcbank","UPI_QR_P2M",478,"INR","Swiggy Food","swiggy@axisbank","Dining & Quick Food","Jaipur","Rajasthan",26.9124,75.7873,"DEV-PHONE-ROH-2","TRUSTED","103.21.6.44",false,false,17,9,"TIER_1_ZERO_FRICTION","Silent Seamless Approval (<15ms)",0,"BENIGN_AUTHENTIC_UPI","Verified NPCI UPI transaction on trusted hardware"
"UPI-IND-2026-00004","2026-09-08T02:05:34.068Z","Ananya Iyer","ananya.iyer90@okhdfcbank","UPI_QR_P2M",531,"INR","Swiggy Food","swiggy@axisbank","Dining & Quick Food","Bengaluru","Karnataka",12.9716,77.5946,"DEV-PHONE-ANA-3","TRUSTED","103.21.9.44",false,false,15,13,"TIER_1_ZERO_FRICTION","Silent Seamless Approval (<15ms)",0,"BENIGN_AUTHENTIC_UPI","Verified NPCI UPI transaction on trusted hardware"
"UPI-IND-2026-00005","2026-09-08T02:06:34.068Z","Vikram Singh","vikram.singh43@okhdfcbank","UPI_QR_P2M",810,"INR","BookMyShow","bookmyshow@icici","Entertainment & Tickets","Kolkata","West Bengal",22.5726,88.3639,"DEV-PHONE-VIK-4","TRUSTED","103.21.12.44",false,false,14,5,"TIER_1_ZERO_FRICTION","Silent Seamless Approval (<15ms)",0,"BENIGN_AUTHENTIC_UPI","Verified NPCI UPI transaction on trusted hardware"
"UPI-IND-2026-00006","2026-09-08T02:07:34.068Z","Sneha Kulkarni","sneha.kulkarni78@okhdfcbank","UPI_QR_P2M",1336,"INR","Amazon Pay India","amazonpay@apl","E-Commerce","Kolkata","West Bengal",22.5726,88.3639,"DEV-PHONE-SNE-5","TRUSTED","103.21.15.44",false,false,12,13,"TIER_1_ZERO_FRICTION","Silent Seamless Approval (<15ms)",0,"BENIGN_AUTHENTIC_UPI","Verified NPCI UPI transaction on trusted hardware"
"UPI-IND-2026-00007","2026-09-08T02:08:34.068Z","Aditya Joshi","aditya.joshi61@okhdfcbank","UPI_QR_P2M",1310,"INR","IRCTC Train Tickets","irctc@sbi","Government Transit","Kolkata","West Bengal",22.5726,88.3639,"DEV-PHONE-ADI-6","TRUSTED","103.21.18.44",false,false,19,2,"TIER_1_ZERO_FRICTION","Silent Seamless Approval (<15ms)",0,"BENIGN_AUTHENTIC_UPI","Verified NPCI UPI transaction on trusted hardware"
"UPI-IND-2026-00008","2026-09-08T02:09:34.068Z","Kavya Nair","kavya.nair95@okhdfcbank","UPI_QR_P2M",1117,"INR","D-Mart Ready","dmart@sbi","Supermarket","Bengaluru","Karnataka",12.9716,77.5946,"DEV-PHONE-KAV-7","TRUSTED","103.21.21.44",false,false,13,8,"TIER_1_ZERO_FRICTION","Silent Seamless Approval (<15ms)",0,"BENIGN_AUTHENTIC_UPI","Verified NPCI UPI transaction on trusted hardware"
"UPI-IND-2026-00009","2026-09-08T02:10:34.068Z","Rahul Gupta","rahul.gupta28@okhdfcbank","UPI_QR_P2M",444,"INR","Swiggy Food","swiggy@axisbank","Dining & Quick Food","Ahmedabad","Gujarat",23.0225,72.5714,"DEV-PHONE-RAH-8","TRUSTED","103.21.24.44",false,false,18,7,"TIER_1_ZERO_FRICTION","Silent Seamless Approval (<15ms)",0,"BENIGN_AUTHENTIC_UPI","Verified NPCI UPI transaction on trusted hardware"
"UPI-IND-2026-00010","2026-09-08T02:11:34.068Z","Pooja Reddy","pooja.reddy74@okhdfcbank","UPI_QR_P2M",519,"INR","BookMyShow","bookmyshow@icici","Entertainment & Tickets","Pune","Maharashtra",18.5204,73.8567,"DEV-PHONE-POO-9","TRUSTED","103.21.27.44",false,false,16,4,"TIER_1_ZERO_FRICTION","Silent Seamless Approval (<15ms)",0,"BENIGN_AUTHENTIC_UPI","Verified NPCI UPI transaction on trusted hardware"
"UPI-IND-2026-00011","2026-09-08T02:12:34.068Z","Manish Chawla","manish.chawla49@okhdfcbank","UPI_QR_P2M",502,"INR","Zomato","zomato@icici","Dining & Quick Food","Mumbai","Maharashtra",19.076,72.8777,"DEV-PHONE-MAN-10","TRUSTED","103.21.30.44",false,false,16,6,"TIER_1_ZERO_FRICTION","Silent Seamless Approval (<15ms)",0,"BENIGN_AUTHENTIC_UPI","Verified NPCI UPI transaction on trusted hardware"
"UPI-IND-2026-00012","2026-09-08T02:13:34.068Z","Neha Deshmukh","neha.deshmukh21@okhdfcbank","UPI_QR_P2M",503,"INR","Zomato","zomato@icici","Dining & Quick Food","Lucknow","Uttar Pradesh",26.8467,80.9462,"DEV-PHONE-NEH-11","TRUSTED","103.21.33.44",false,false,17,4,"TIER_1_ZERO_FRICTION","Silent Seamless Approval (<15ms)",0,"BENIGN_AUTHENTIC_UPI","Verified NPCI UPI transaction on trusted hardware"
"UPI-IND-2026-00013","2026-09-08T02:14:34.068Z","Arjun Kapoor","arjun.kapoor19@okhdfcbank","UPI_QR_P2M",192,"INR","Uber India","uber.india@hdfcbank","Rideshare & Transport","Hyderabad","Telangana",17.385,78.4867,"DEV-PHONE-ARJ-12","TRUSTED","103.21.36.44",false,false,15,12,"TIER_1_ZERO_FRICTION","Silent Seamless Approval (<15ms)",0,"BENIGN_AUTHENTIC_UPI","Verified NPCI UPI transaction on trusted hardware"
"UPI-IND-2026-00014","2026-09-08T02:15:34.068Z","Divya Sundaram","divya.sundaram10@okhdfcbank","UPI_QR_P2M",206,"INR","Uber India","uber.india@hdfcbank","Rideshare & Transport","Delhi NCR","Delhi",28.6139,77.209,"DEV-PHONE-DIV-13","TRUSTED","103.21.39.44",false,false,18,11,"TIER_1_ZERO_FRICTION","Silent Seamless Approval (<15ms)",0,"BENIGN_AUTHENTIC_UPI","Verified NPCI UPI transaction on trusted hardware"
"UPI-IND-2026-00015","2026-09-08T02:16:34.068Z","Siddharth Rao","siddharth.rao15@okhdfcbank","UPI_QR_P2M",1897,"INR","D-Mart Ready","dmart@sbi","Supermarket","Kolkata","West Bengal",22.5726,88.3639,"DEV-PHONE-SID-14","TRUSTED","103.21.42.44",false,false,15,7,"TIER_1_ZERO_FRICTION","Silent Seamless Approval (<15ms)",0,"BENIGN_AUTHENTIC_UPI","Verified NPCI UPI transaction on trusted hardware"
